min,med,max,forks
2818,4127,6411,0
3761,3806,6006,0
2744,4074,6728,0
2583,4248,8200,0
3013,5201,10592,0
3685,4059,4317,0
3667,4089,6781,0
2539,2884,5815,0
2787,3405,6280,0
2942,5208,7006,0
3026,3527,7044,0
3559,4542,6153,0
2654,3454,3748,0
2540,4374,6822,0
3709,4172,5239,0
2374,3210,5418,0
3472,5012,5923,0
3670,3831,5860,0
4015,5632,7230,0
3217,4944,6760,0
2897,3280,3520,0
2697,3160.0,6248,8359
4092,4240.0,4405,8364
2834,3279.0,7592,8380
3859,5474.0,7545,8363
3682,6908,7840,8370
5148,5591.5,6693,8332
4856,7649.0,9903,8367
4423,4423,4423,8357
3442,4893.0,7660,8369
4374,6045.5,7414,8371
3579,4730,5980,8372
3984,6112,7943,8347
4044,4317.0,4590,8379
3362,3766,3813,8370
3410,3973.0,4536,8356
4344,7180.0,10016,8355
3777,5209.0,6591,8356
5829,7227.0,8549,8354
3971,5471,7979,8374
2909,5174.0,7439,8366
3481,6287.0,7833,8367
